;;;;;;;
Abscisa;Distancia;Profundidad Totales;Profundidad Totales;Velocidad Media;Profundidad media;¡rea parcial;Caudal Parcial
1;4,0;0,00;0,00;0,068;0,17;0,66;0,0447
2;1,0;0,33;-0,33;0,067;0,43;0,43;0,0284
3;1,0;0,52;-0,52;0,052;0,59;0,59;0,0306
4;1,0;0,65;-0,65;0,135;0,69;0,69;0,0925
5;1,0;0,72;-0,72;0,207;0,84;0,84;0,1726
6;1,0;0,95;-0,95;0,274;0,99;0,99;0,2702
7;1,0;1,02;-1,02;0,350;1,03;1,03;0,3585
8;1,0;1,03;-1,03;0,440;1,07;1,07;0,4681
9;1,0;1,10;-1,10;0,519;1,11;1,11;0,5760
10;1,0;1,12;-1,12;0,558;1,09;1,09;0,6081
11;1,0;1,06;-1,06;0,596;1,04;1,04;0,6195
12;1,0;1,02;-1,02;0,433;0,98;0,98;0,4244
13;1,0;0,94;-0,94;0,276;0,91;0,91;0,2494
14;1,0;0,87;-0,87;0,282;0,76;0,76;0,2144
15;1,0;0,65;-0,65;0,307;0,50;0,50;0,1519
16;1,0;0,34;-0,34;0,335;0,34;0,34;0,1124
17;1,0;0,33;-0,33;0,338;0,33;0,33;0,1099
18;1,0;0,32;-0,32;0,255;0,30;0,30;0,0764
19;1,0;0,28;-0,28;0,179;0,26;0,26;0,0466
20;1,0;0,24;-0,24;0,146;0,21;0,21;0,0306
21;1,0;0,18;-0,18;0,064;0,09;0,09;0,0058
22;0,8;0,00;0,00;0,007;;;
